EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,State
750000.0625,386103.0625,750000.0625,647205.5,-298268.40625,729071.3125,365960.21875,587528.0625,-0.281005859375,0.7314453125,0.5849609375,0.0,0.0,0.0,73.33333587646484,1.0,1.0,WarmUp
750000.0625,179398.953125,750000.0625,750000.0625,-328930.96875,750000.0625,449550.46875,487076.1875,-0.2919921875,0.74267578125,0.58447265625,0.0,0.0,0.0,73.33333587646484,2.0,1.0,WarmUp
750000.0625,330196.4375,750000.0625,750000.0625,-241361.125,684396.3125,259597.90625,199070.28125,-0.293701171875,0.746826171875,0.5830078125,0.0,0.0,0.0,73.33333587646484,3.0,1.0,WarmUp
750000.0625,547560.25,713695.375,750000.0625,-130720.7890625,478666.125,125627.359375,71021.8671875,-0.293212890625,0.749755859375,0.583740234375,0.0,0.0,0.0,73.33333587646484,4.0,1.0,WarmUp
733792.5,589473.1875,750000.0625,691153.4375,-82300.0234375,620678.125,262649.5625,122202.7109375,-0.2919921875,0.75390625,0.5869140625,0.0,0.0,0.0,73.33333587646484,5.0,1.0,WarmUp
668049.875,633181.6875,750000.0625,739514.0,91187.1640625,750000.0625,420389.21875,487792.96875,-0.294677734375,0.755859375,0.590087890625,0.0,0.0,0.0,73.33333587646484,6.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,293894.4375,750000.0625,467166.59375,522379.0625,-0.29150390625,0.761474609375,0.5927734375,-11.016844749450684,-14.221190452575684,-8.270262718200684,73.33333587646484,7.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,366592.40625,708118.75,723490.5,552235.625,-0.288330078125,0.763427734375,0.59423828125,-13.732909202575684,-21.209714889526367,-11.169432640075684,73.33333587646484,8.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,530244.9375,718284.0625,750000.0625,658720.9375,-0.28369140625,0.76611328125,0.60009765625,-14.892577171325684,-23.925779342651367,-12.298583030700684,73.33333587646484,9.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,684765.8125,661647.6875,750000.0625,647260.9375,-0.27880859375,0.768310546875,0.603759765625,-15.319823265075684,-24.749753952026367,-12.725829124450684,73.33333587646484,10.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.275146484375,0.767822265625,0.605712890625,-15.747069358825684,-25.054929733276367,-12.969969749450684,73.33333587646484,11.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.273193359375,0.769287109375,0.612548828125,-15.899657249450684,-25.146482467651367,-13.031004905700684,73.33333587646484,12.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.272705078125,0.76953125,0.614501953125,-16.204832077026367,-25.115964889526367,-13.122557640075684,73.33333587646484,13.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.270263671875,0.76904296875,0.617919921875,-16.418455123901367,-24.963376998901367,-13.031004905700684,73.33333587646484,14.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.270263671875,0.766357421875,0.621337890625,-16.693113327026367,-24.780271530151367,-13.000487327575684,73.33333587646484,15.0,1.0,WarmUp
717160.9375,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.264404296875,0.7587890625,0.61767578125,-17.120359420776367,-24.658201217651367,-12.939452171325684,73.33333587646484,16.0,1.0,WarmUp
613539.25,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.2626953125,0.751953125,0.614013671875,-16.906736373901367,-24.291990280151367,-12.725829124450684,73.33333587646484,17.0,1.0,WarmUp
527227.4375,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.262939453125,0.745849609375,0.619140625,-16.693113327026367,-23.925779342651367,-12.451170921325684,73.33333587646484,18.0,1.0,WarmUp
474338.0,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.263671875,0.740966796875,0.620849609375,-16.662595748901367,-23.590085983276367,-12.268065452575684,73.33333587646484,19.0,1.0,WarmUp
455500.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.267578125,0.7392578125,0.62109375,-16.662595748901367,-23.345945358276367,-12.084959983825684,73.33333587646484,20.0,1.0,WarmUp
442341.03125,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.267578125,0.73291015625,0.619140625,-16.601560592651367,-22.979734420776367,-11.962889671325684,73.33333587646484,21.0,1.0,WarmUp
429877.53125,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.268798828125,0.72998046875,0.62060546875,-16.326902389526367,-22.674558639526367,-11.993407249450684,73.33333587646484,22.0,1.0,WarmUp
418024.125,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.2705078125,0.7255859375,0.62353515625,-16.082761764526367,-22.399900436401367,-12.023924827575684,73.33333587646484,23.0,1.0,WarmUp
